2018-07-05 20:29:04,252 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-07-06 00:38:51,303 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2018-07-06 01:00:42,313 [Worker-6] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-07-06 01:25:58,304 [Worker-83] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-war-plugin/3.0.0/maven-war-plugin-3.0.0.jar
2018-07-06 01:25:58,599 [Worker-83] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-war-plugin/3.0.0/maven-war-plugin-3.0.0.jar
2018-07-06 01:26:01,375 [Worker-83] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: financiamientosas.presentation:financiamientosas.presentation:0.0.1-SNAPSHOT @ /Users/leonardoespinosa/WSGrupoDot/financiamientosas.presentation/pom.xml.
2018-07-06 01:26:01,752 [Worker-83] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-war-plugin/3.0.0/maven-war-plugin-3.0.0.pom
2018-07-06 01:26:01,952 [Worker-83] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-war-plugin/3.0.0/maven-war-plugin-3.0.0.pom
2018-07-06 01:26:09,186 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-06 01:26:09,274 [Worker-79] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-07-06 01:26:09,301 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-06 01:26:09,302 [Worker-79] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/leonardoespinosa/WSGrupoDot/financiamientosas.presentation/src/test/resources
2018-07-06 01:26:09,364 [Worker-83] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /financiamientosas.presentation/src
2018-07-06 01:26:09,364 [Worker-83] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /financiamientosas.presentation/src overlaps with sources folder /financiamientosas.presentation/src
2018-07-06 01:26:09,374 [Worker-83] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /financiamientosas.presentation/src/test/java because it overlaps with /financiamientosas.presentation/src
2018-07-06 01:26:10,291 [Worker-83] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-07-06 01:26:10,813 [Worker-83] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: financiamientosas.presentation:financiamientosas.presentation:0.0.1-SNAPSHOT @ /Users/leonardoespinosa/WSGrupoDot/financiamientosas.presentation/pom.xml.
2018-07-06 01:26:12,543 [Worker-84] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-06 01:26:12,582 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-07-06 01:26:12,598 [Worker-84] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-06 01:26:12,599 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/leonardoespinosa/WSGrupoDot/financiamientosas.presentation/src/test/resources
2018-07-06 01:26:12,600 [Worker-84] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of financiamientosas.presentation
2018-07-06 01:26:12,601 [Worker-84] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for financiamientosas.presentation
2018-07-06 01:26:12,689 [Worker-84] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-06 01:26:12,768 [Worker-83] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /financiamientosas.presentation/src
2018-07-06 01:26:12,768 [Worker-83] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /financiamientosas.presentation/src overlaps with sources folder /financiamientosas.presentation/src
2018-07-06 01:26:12,771 [Worker-83] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /financiamientosas.presentation/src/test/java because it overlaps with /financiamientosas.presentation/src
2018-07-06 01:26:13,246 [Worker-83] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for financiamientosas.presentation
2018-07-06 01:26:13,256 [Worker-83] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2018-07-06 01:26:13,483 [Worker-87] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-06 01:26:13,485 [Worker-87] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-07-06 01:26:13,487 [Worker-87] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-06 01:26:13,488 [Worker-87] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/leonardoespinosa/WSGrupoDot/financiamientosas.presentation/src/test/resources
2018-07-06 01:26:13,489 [Worker-87] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of financiamientosas.presentation
2018-07-06 01:26:13,489 [Worker-87] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for financiamientosas.presentation
2018-07-06 01:26:13,499 [Worker-87] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-06 01:27:41,689 [Worker-77] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: financiamientosas.presentation:financiamientosas.presentation:0.0.1-SNAPSHOT @ /Users/leonardoespinosa/WSGrupoDot/financiamientosas.presentation/pom.xml.
